region,country,emission
Asia Pacific,China,18501.91406
Asia Pacific,India,18358.51758
Central and South America,Brazil,14020.08887
North America,United States,9409.325195
Europe,European Union,8851.337891
Other,Other,7259.01416
Asia Pacific,Pakistan,5319.456055
Asia Pacific,Indonesia,3518.344482
Asia Pacific,Other countries in Southeast Asia,3300.293701
Central and South America,Argentina,3152.932617
Europe,Other EU17 countries,2811.933838
Asia Pacific,Australia,2450.463135
North America,Mexico,2420.791016
Asia Pacific,Bangladesh,2410.234375
Europe,Other countries in Europe,2284.248779
Asia Pacific,Vietnam,2193.262695
Africa,Nigeria,2082.188232
Asia Pacific,Thailand,2078.933838
Russia & Caspian,Russia,2022.095947
Africa,Ethiopia,1910.089722
Central and South America,Colombia,1795.903198
Asia Pacific,Philippines,1714.848877
Europe,France,1564.221802
Africa,Sudan,1549.11084
Europe,Germany,1269.368652
Africa,Kenya,1250.951904
Africa,Chad,1223.932983
Africa,Tanzania,1180.221924
Asia Pacific,New Zealand,1155.99939
North America,Canada,1072.710693
Europe,United Kingdom,1064.665894
Central and South America,Venezuela,1015.064087
Asia Pacific,Japan,991.649353
Russia & Caspian,Uzbekistan,901.6826172
Central and South America,Paraguay,835.0689087
Middle East,Iran,802.4543457
Europe,Italy,800.0471191
Russia & Caspian,Kazakhstan,762.0980835
Africa,South Africa,760.3227539
Central and South America,Uruguay,751.9459229
Africa,Niger,696.4396362
Africa,South Sudan,695.7181396
Africa,Egypt,684.5322266
Central and South America,Bolivia,673.7541504
Central and South America,Peru,639.6949463
Africa,Somalia,625.7147827
Europe,Poland,615.5054321
Africa,Democratic Republic of Congo,555.5286865
Asia Pacific,Mongolia,549.242981
Asia Pacific,Korea,508.4415588
Europe,Netherlands,466.8436584
Africa,Guinea,438.1594238
Africa,Angola,400.969574
Europe,Ukraine,377.1493225
Europe,Romania,367.9289246
Central and South America,Ecuador,359.8713684
Russia & Caspian,Turkmenistan,304.8717651
Africa,Morocco,295.3795166
Africa,Cameroon,279.5312195
Central and South America,Cuba,267.4549255
Africa,Senegal,261.5225525
Africa,Algeria,257.6112061
Africa,Central African Republic,250.816803
Europe,Denmark,240.0936127
Africa,Mozambique,210.6539917
Russia & Caspian,Azerbaijan,195.197525
Asia Pacific,Malaysia,189.0501709
Africa,Cote d'Ivoire,185.7007751
Africa,Namibia,181.987915
Middle East,Yemen,181.292984
Africa,Ghana,169.0322266
Middle East,Iraq,168.223938
Europe,Other EU7 countries,139.6356812
Middle East,Syria,133.0528259
Europe,Sweden,128.6583862
Middle East,Saudi Arabia,121.0209732
Africa,Eritrea,120.1793518
Africa,Benin,105.6910324
Europe,Norway,103.6077347
Africa,Tunisia,97.72246552
Africa,Botswana,97.25849152
Africa,Sierra Leone,86.26763916
Africa,Libya,67.41584778
Central and South America,Guyana,57.39715576
Africa,Guinea-Bissau,52.83677673
Africa,Togo,50.73590851
Europe,Slovenia,48.42922592
Middle East,United Arab Emirates,47.43784332
Europe,Israel,39.84008789
Middle East,Oman,37.05989838
Africa,Gambia,29.56750679
Europe,Estonia,27.72345734
Middle East,Jordan,25.81554222
Africa,Congo,23.87096596
Middle East,Lebanon,12.06766987
Middle East,Qatar,11.36858845
Africa,Liberia,9.208291054
Middle East,Kuwait,7.323050499
Africa,Gabon,5.590458393
Central and South America,Trinidad and Tobago,4.345527649
Middle East,Bahrain,0.964592338
Asia Pacific,Brunei,0.841234267
Africa,Equatorial Guinea,0.438739002
Africa,Seychelles,0.078720711
